file,archsmell
src/java/org/apache/ivy/ant/IvyTask.java,CMD
src/java/fr/jayasoft/ivy/util/Configurator.java,CMD
test/java/org/apache/ivy/core/retrieve/RetrieveTest.java,CMD
src/java/org/apache/ivy/ant/IvyArtifactReport.java,CMD
test/java/fr/jayasoft/ivy/ant/IvyBuildListTest.java,CMD
src/java/org/apache/ivy/ant/IvyVar.java,CMD
test/java/org/apache/ivy/core/sort/SortTest.java,CMD
src/java/fr/jayasoft/ivy/ant/IvyTask.java,CMD
test/java/fr/jayasoft/ivy/xml/XmlModuleDescriptorParserTest.java,CMD
src/java/org/apache/ivy/ant/AntCallTrigger.java,CMD
src/java/fr/jayasoft/ivy/ant/IvyReport.java,CMD
src/java/org/apache/ivy/core/module/descriptor/DefaultModuleDescriptor.java,CMD
test/java/org/apache/ivy/ant/IvyConfigureTest.java,CMD
test/java/fr/jayasoft/ivy/xml/XmlIvyConfigurationParserTest.java,CMD
src/java/org/apache/ivy/ant/IvyResolve.java,CMD
src/java/fr/jayasoft/ivy/DefaultDependencyArtifactDescriptor.java,CMD
test/java/org/apache/ivy/ant/IvyArtifactPropertyTest.java,CMD
src/java/fr/jayasoft/ivy/ant/IvyResolve.java,CMD
test/java/org/apache/ivy/plugins/report/XmlReportOutputterTest.java,CMD
src/java/org/apache/ivy/ant/IvyReport.java,CMD
src/java/org/apache/ivy/ant/IvyDeliver.java,CMD
src/java/org/apache/ivy/osgi/obr/xml/OBRXMLParser.java,CMD
src/java/org/apache/ivy/ant/IvyConfigure.java,CMD
test/java/org/apache/ivy/ant/IvyPostResolveTaskTest.java,CMD
src/java/org/apache/ivy/ant/IvyRepositoryReport.java,CMD
src/java/org/apache/ivy/tools/analyser/JarJarDependencyAnalyser.java,CMD
src/java/fr/jayasoft/ivy/IvyNode.java,CMD
test/java/org/apache/ivy/util/ConfiguratorTest.java,CMD
src/java/org/apache/ivy/plugins/version/VersionRangeMatcher.java,CMD
src/java/org/apache/ivy/plugins/resolver/BasicResolver.java,CMD
src/java/org/apache/ivy/core/resolve/ResolveEngine.java,CMD
src/java/org/apache/ivy/util/FileUtil.java,CMD
test/java/org/apache/ivy/ant/IvyPublishTest.java,CMD
test/java/org/apache/ivy/core/resolve/ResolveTest.java,CMD
src/java/org/apache/ivy/ant/IvyCacheTask.java,CMD
src/java/org/apache/ivy/plugins/resolver/AbstractResolver.java,CMD
src/java/org/apache/ivy/plugins/resolver/util/ResolvedResource.java,CMD
src/java/org/apache/ivy/ant/IvyPublish.java,CMD
src/java/org/apache/ivy/plugins/version/Match.java,CMD
src/java/fr/jayasoft/ivy/resolver/IBiblioResolver.java,CMD
src/java/org/apache/ivy/core/install/InstallEngine.java,CMD
src/java/fr/jayasoft/ivy/ModuleDescriptor.java,CMD
src/java/org/apache/ivy/ant/IvyCachePath.java,CMD
test/java/org/apache/ivy/ant/IvyRepositoryReportTest.java,CMD
src/java/org/apache/ivy/ant/IvyFindRevision.java,CMD
test/java/fr/jayasoft/ivy/ant/IvyPublishTest.java,CMD
src/java/org/apache/ivy/core/check/CheckEngine.java,CMD
src/java/org/apache/ivy/core/module/descriptor/DependencyDescriptor.java,CMD
src/java/org/apache/ivy/core/cache/DefaultRepositoryCacheManager.java,CMD
src/java/org/apache/ivy/plugins/report/XmlReportParser.java,CMD
src/java/org/apache/ivy/ant/IvyInstall.java,CMD
test/java/fr/jayasoft/ivy/ant/IvyResolveTest.java,CMD
src/java/fr/jayasoft/ivy/xml/XmlModuleDescriptorParser.java,CMD
src/java/org/apache/ivy/core/IvyPatternHelper.java,CMD
src/java/org/apache/ivy/core/deliver/DeliverEngine.java,CMD
src/java/org/apache/ivy/ant/IvyBuildNumber.java,CMD
test/java/org/apache/ivy/osgi/obr/OBRParserTest.java,CMD
test/java/org/apache/ivy/plugins/conflict/StrictConflictManagerTest.java,CMD
test/java/org/apache/ivy/plugins/resolver/DualResolverTest.java,CMD
src/java/org/apache/ivy/Main.java,CMD
src/java/org/apache/ivy/osgi/repo/AbstractFSManifestIterable.java,CMD
src/java/org/apache/ivy/core/settings/XmlSettingsParser.java,CMD
src/java/org/apache/ivy/core/settings/IvyVariableContainer.java,CMD
src/java/org/apache/ivy/core/sort/ModuleDescriptorSorter.java,CMD
src/java/fr/jayasoft/ivy/ant/AntCallTrigger.java,CMD
src/java/fr/jayasoft/ivy/resolver/BasicResolver.java,CMD
test/java/org/apache/ivy/ant/AntBuildTriggerTest.java,CMD
test/java/fr/jayasoft/ivy/ant/IvyRetrieveTest.java,CMD
src/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorParser.java,CMD
src/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorWriter.java,CMD
src/java/org/apache/ivy/core/settings/IvySettings.java,CMD
src/java/org/apache/ivy/ant/IvyListModules.java,CMD
