file,archsmell
camel-core/src/main/java/org/apache/camel/Exchange.java,UI
components/camel-spring-integration/src/main/java/org/apache/camel/component/spring/integration/SpringIntegrationEndpoint.java,CMD
camel-core/src/test/java/org/apache/camel/component/file/FileConsumerBeginExpressionRenameStrategyTest.java,CMD
camel-core/src/main/java/org/apache/camel/model/RouteDefinition.java,CMD
camel-core/src/main/java/org/apache/camel/model/InterceptFromDefinition.java,CMD
camel-jms/src/main/java/org/apache/camel/component/jms/JmsProducer.java,CMD
camel-core/src/main/java/org/apache/camel/impl/DefaultExchange.java,CMD
components/camel-mina/src/main/java/org/apache/camel/component/mina/MinaComponent.java,CMD
camel-core/src/main/java/org/apache/camel/impl/RouteService.java,CMD
camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfEndpoint.java,CMD
camel-core/src/main/java/org/apache/camel/component/bean/BeanProcessor.java,CMD
camel-core/src/main/java/org/apache/camel/component/queue/QueueEndpointConsumer.java,CMD
components/camel-ftp/src/test/java/org/apache/camel/component/file/remote/FtpConsumerLocalWorkDirectoryTest.java,CMD
camel-core/src/main/java/org/apache/camel/impl/converter/PropertyEditorTypeConverter.java,CMD
camel-mina/src/main/java/org/apache/camel/component/mina/MinaComponent.java,CMD
camel-core/src/test/java/org/apache/camel/component/file/FileProducerExpressionTest.java,CMD
components/camel-jms/src/main/java/org/apache/camel/component/jms/JmsExchange.java,CMD
camel-core/src/main/java/org/apache/camel/builder/RouteBuilder.java,CMD
camel-core/src/main/java/org/apache/camel/processor/RedeliveryErrorHandler.java,CMD
components/camel-spring/src/main/java/org/apache/camel/component/event/EventEndpoint.java,CMD
components/camel-rmi/src/main/java/org/apache/camel/component/rmi/RmiProducer.java,CMD
components/camel-spring/src/main/java/org/apache/camel/spring/SpringCamelContext.java,CMD
camel-core/src/main/java/org/apache/camel/component/pojo/PojoEndpoint.java,CMD
components/camel-jpa/src/test/java/org/apache/camel/component/jpa/JpaTest.java,CMD
camel-core/src/main/java/org/apache/camel/component/bean/CamelInvocationHandler.java,CMD
components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/SftpConsumer.java,CMD
camel-mina/src/main/java/org/apache/camel/component/mina/MinaEndpoint.java,CMD
components/camel-cxf/src/test/java/org/apache/camel/component/cxf/CxfProducerTest.java,CMD
components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfEndpoint.java,CMD
camel-core/src/main/java/org/apache/camel/util/ObjectHelper.java,CMD
camel-core/src/main/java/org/apache/camel/model/MulticastDefinition.java,CMD
components/camel-josql/src/main/java/org/apache/camel/builder/sql/SqlBuilder.java,CMD
camel-jms/src/main/java/org/apache/camel/jms/JmsEndpointResolver.java,CMD
camel-core/src/main/java/org/apache/camel/converter/AsyncProcessorConverter.java,CMD
camel-core/src/main/java/org/apache/camel/model/SplitDefinition.java,CMD
components/camel-jaxb/src/test/java/org/apache/camel/example/JAXBConvertTest.java,CMD
camel-core/src/test/java/org/apache/camel/processor/async/ToAsyncTwoTest.java,CMD
camel-core/src/test/java/org/apache/camel/issues/GertJBIIssueTest.java,CMD
camel-core/src/main/java/org/apache/camel/processor/Splitter.java,CMD
camel-core/src/main/java/org/apache/camel/management/DefaultManagementLifecycleStrategy.java,CMD
components/camel-test/src/main/java/org/apache/camel/test/junit4/CamelTestSupport.java,CMD
